tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,ndcg_at_10,3.681,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,ndcg_at_10,3.618,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,ndcg_at_10,3.6319999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,ndcg_at_10,3.558,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,ndcg_at_10,3.583,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,ndcg_at_10,3.573,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,ndcg_at_10,3.6310000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,ndcg_at_10,3.592,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,ndcg_at_10,3.5180000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,ndcg_at_10,3.463,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,ndcg_at_10,3.415,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,ndcg_at_10,3.3550000000000004,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,ndcg_at_10,3.2419999999999995,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,ndcg_at_10,2.402,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,ndcg_at_10,1.413,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,ndcg_at_10,3.1350000000000002,T5(32128 vocab size)
T5,random_xn_tok,12288,ndcg_at_10,3.1879999999999997,T5(32128 vocab size)
T5,random_xn_tok,9216,ndcg_at_10,3.105,T5(32128 vocab size)
T5,random_xn_tok,7168,ndcg_at_10,3.088,T5(32128 vocab size)
T5,random_xn_tok,5120,ndcg_at_10,3.147,T5(32128 vocab size)
T5,random_xn_tok,4096,ndcg_at_10,3.15,T5(32128 vocab size)
T5,random_xn_tok,2560,ndcg_at_10,3.089,T5(32128 vocab size)
T5,random_xn_tok,2048,ndcg_at_10,3.1109999999999998,T5(32128 vocab size)
T5,random_xn_tok,1536,ndcg_at_10,3.141,T5(32128 vocab size)
T5,random_xn_tok,1088,ndcg_at_10,2.899,T5(32128 vocab size)
T5,random_xn_tok,1024,ndcg_at_10,2.844,T5(32128 vocab size)
T5,random_xn_tok,768,ndcg_at_10,2.749,T5(32128 vocab size)
T5,random_xn_tok,512,ndcg_at_10,2.467,T5(32128 vocab size)
T5,random_xn_tok,256,ndcg_at_10,2.1420000000000003,T5(32128 vocab size)
T5,random_xn_tok,128,ndcg_at_10,1.365,T5(32128 vocab size)
OPT,random_xn_tok,14336,ndcg_at_10,3.3369999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,12288,ndcg_at_10,3.3459999999999996,OPT(50272 vocab size)
OPT,random_xn_tok,9216,ndcg_at_10,3.292,OPT(50272 vocab size)
OPT,random_xn_tok,7168,ndcg_at_10,3.2969999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,5120,ndcg_at_10,3.2399999999999998,OPT(50272 vocab size)
OPT,random_xn_tok,4096,ndcg_at_10,3.313,OPT(50272 vocab size)
OPT,random_xn_tok,2560,ndcg_at_10,3.115,OPT(50272 vocab size)
OPT,random_xn_tok,2048,ndcg_at_10,3.045,OPT(50272 vocab size)
OPT,random_xn_tok,1536,ndcg_at_10,3.084,OPT(50272 vocab size)
OPT,random_xn_tok,1088,ndcg_at_10,2.983,OPT(50272 vocab size)
OPT,random_xn_tok,1024,ndcg_at_10,3.091,OPT(50272 vocab size)
OPT,random_xn_tok,768,ndcg_at_10,3.031,OPT(50272 vocab size)
OPT,random_xn_tok,512,ndcg_at_10,2.635,OPT(50272 vocab size)
OPT,random_xn_tok,256,ndcg_at_10,1.9449999999999998,OPT(50272 vocab size)
OPT,random_xn_tok,128,ndcg_at_10,1.246,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,ndcg_at_10,3.787,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,ndcg_at_10,3.811,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,ndcg_at_10,3.7479999999999998,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,ndcg_at_10,3.818,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,ndcg_at_10,3.7310000000000003,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,ndcg_at_10,3.662,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,ndcg_at_10,3.6580000000000004,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,ndcg_at_10,3.563,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,ndcg_at_10,3.519,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,ndcg_at_10,3.431,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,ndcg_at_10,3.458,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,ndcg_at_10,3.2199999999999998,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,ndcg_at_10,2.996,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,256,ndcg_at_10,2.3449999999999998,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,128,ndcg_at_10,1.473,Cerebras(50257 vocab size)
Bloom,random_xn_tok,14336,ndcg_at_10,4.682,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,ndcg_at_10,4.642,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,ndcg_at_10,4.635,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,ndcg_at_10,4.564,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,ndcg_at_10,4.594,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,ndcg_at_10,4.596,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,ndcg_at_10,4.41,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,ndcg_at_10,4.328,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,ndcg_at_10,4.135,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,ndcg_at_10,4.039000000000001,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,ndcg_at_10,4.045,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,ndcg_at_10,3.914,Bloom(250880 vocab size)
Bloom,random_xn_tok,512,ndcg_at_10,3.691,Bloom(250880 vocab size)
Bloom,random_xn_tok,256,ndcg_at_10,2.973,Bloom(250880 vocab size)
Bloom,random_xn_tok,128,ndcg_at_10,1.748,Bloom(250880 vocab size)
